Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Población
BUENOS AIRES,BRAGADO,25.0,57,46227.0
BUENOS AIRES,SAN ANTONIO DE ARECO,21.0,57,26695.0
BUENOS AIRES,CARLOS CASARES,20.0,57,22905.0
BUENOS AIRES,GENERAL JUAN MADARIAGA,14.0,57,22566.0
BUENOS AIRES,MAR CHIQUITA,8.0,57,32973.0
BUENOS AIRES,SALTO,58.0,56,39257.0
CORDOBA,TOTORAL,39.0,56,22473.0
MISIONES,CANDELARIA,14.0,56,34945.0
CATAMARCA,ANDALGALA,11.0,56,19545.0
CATAMARCA,EL ALTO,2.0,56,4375.0
SAN LUIS,JUNIN,19.0,55,40289.0
CHACO,12 DE OCTUBRE,10.0,55,23179.0
SANTIAGO DEL ESTERO,SAN MARTIN,1.0,55,11183.0
LA RIOJA,ROSARIO VERA PEÑALOZA,0.0,55,15764.0
SANTA FE,BELGRANO,113.0,54,48544.0
BUENOS AIRES,ENSENADA,36.0,54,63978.0
BUENOS AIRES,EXALTACION DE LA CRUZ,27.0,54,40036.0
SAN JUAN,25 DE MAYO,15.0,54,20824.0
BUENOS AIRES,CORONEL PRINGLES,13.0,54,24110.0
CORRIENTES,EMPEDRADO,4.0,54,17948.0
JUJUY,YAVI,2.0,54,25831.0
SALTA,SANTA VICTORIA,0.0,54,9411.0
BUENOS AIRES,ROJAS,56.0,53,25619.0
MENDOZA,MALARGUE,34.0,53,32596.0
TUCUMAN,RIO CHICO,3.0,53,64927.0
FORMOSA,MATACOS,0.0,53,17017.0
BUENOS AIRES,ADOLFO ALSINA,3.0,51,17344.0
CHACO,INDEPENDENCIA,7.0,50,21948.0
BUENOS AIRES,RAUCH,2.0,50,16491.0
SAN LUIS,LIBERTADOR GENERAL SAN MARTIN,0.0,50,4691.0
BUENOS AIRES,RAMALLO,42.0,49,39648.0
BUENOS AIRES,ARRECIFES,28.0,49,32077.0
SALTA,METAN,26.0,49,48028.0
BUENOS AIRES,ROQUE PEREZ,11.0,49,13901.0
JUJUY,COCHINOCA,2.0,49,14998.0
NEUQUEN,ZAPALA,28.0,48,45540.0
BUENOS AIRES,GENERAL ALVEAR,4.0,48,10150.0
TUCUMAN,GRANEROS,0.0,48,15539.0
MENDOZA,SANTA ROSA,37.0,47,19379.0
SALTA,ROSARIO DE LERMA,17.0,47,50961.0
BUENOS AIRES,DAIREAUX,11.0,47,18328.0
CORRIENTES,SAN COSME,4.0,47,19679.0
CORRIENTES,SAN ROQUE,2.0,47,22682.0
BUENOS AIRES,CORONEL DORREGO,0.0,47,15795.0
CHACO,SARGENTO CABRAL,0.0,47,18696.0
SALTA,ROSARIO DE LA FRONTERA,31.0,46,33750.0
BUENOS AIRES,RIVADAVIA,17.0,46,19735.0
BUENOS AIRES,CARMEN DE ARECO,16.0,46,17345.0
BUENOS AIRES,TORNQUIST,6.0,46,14591.0
BUENOS AIRES,DOLORES,5.0,46,31405.0
BUENOS AIRES,GENERAL PAZ,2.0,46,14141.0
LA RIOJA,GENERAL SAN MARTIN,0.0,46,5017.0
